Title,Creator,Date Original,Subset(Note),Header,Sport,Gender,Topical Subject,Geographic Subject,Chronological Subject,Source,Type(IMT),Type(DCMITYPE),Type(AAT),Digital Collection,Contributing Institution,Archival Collection,Collection Identifier,Barcode,Rights Management,Contact Information,Sublocation,SportsSeasonURI,SportsEventID,Series,Corporate Name Subject,Date Digital,Latitude,Longitude,Personal name,Collection Guide,Folder,Folder name,Category,Image Height,Image Width,Duration,Digitization Specifications,Image Number,Object File Name,Box Barcode,Case / Tray,Sub-set
Football – ca. 1973 / Football Action / CMP tray [1],The University of Iowa; The Crowley Company,1973,,Football – ca. 1973 / Football Action / CMP tray [1],Football,Men's,Football,,1970-1980,Color slides,image/tiff,Still image,Photographs,Hawkeyes Athletic Slides,University of Iowa. Libraries. University Archives,Center for Media Production Photographic Service Slide Collection,RG30_0002_009,31858045760315,Copyright © The University of Iowa 2015.  All rights reserved.,Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/,1973 Iowa Hawkeyes Football Season,http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team,1500300002S1973,,University of Iowa,2015-12-09,,,,,,,,,,,,,,31858045760315,1 / 1,001-128
Football – ca. 1973 / Football Action / CMP tray [2],The University of Iowa; The Crowley Company,1973,,Football – ca. 1973 / Football Action / CMP tray [2],Football,Men's,Football,,1970-1980,Color slides,image/tiff,Still image,Photographs,Hawkeyes Athletic Slides,University of Iowa. Libraries. University Archives,Center for Media Production Photographic Service Slide Collection,RG30_0002_009,31858045760315,Copyright © The University of Iowa 2015.  All rights reserved.,Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/,1973 Iowa Hawkeyes Football Season,http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team,1500300002S1973,,University of Iowa,2015-12-09,,,,,,,,,,,,,,31858045760315,1 / 1,129-188
Football – ca. 1973 / Football Action / CMP tray [3],The University of Iowa; The Crowley Company,1973,,Football – ca. 1973 / Football Action / CMP tray [3],Football,Men's,Football,,1970-1980,Color slides,image/tiff,Still image,Photographs,Hawkeyes Athletic Slides,University of Iowa. Libraries. University Archives,Center for Media Production Photographic Service Slide Collection,RG30_0002_009,31858045760307,Copyright © The University of Iowa 2015.  All rights reserved.,Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/,1973 Iowa Hawkeyes Football Season,http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team,1500300002S1973,,University of Iowa,2015-12-09,,,,,,,,,,,,,,31858045760307,1 / 2,001-059
Football – ca. 1973 / Football Action / CMP tray [4],The University of Iowa; The Crowley Company,1973,,Football – ca. 1973 / Football Action / CMP tray [4],Football,Men's,Football,,1970-1980,Color slides,image/tiff,Still image,Photographs,Hawkeyes Athletic Slides,University of Iowa. Libraries. University Archives,Center for Media Production Photographic Service Slide Collection,RG30_0002_009,31858045760307,Copyright © The University of Iowa 2015.  All rights reserved.,Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/,1973 Iowa Hawkeyes Football Season,http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team,1500300002S1973,,University of Iowa,2015-12-09,,,,,,,,,,,,,,31858045760307,1 / 2,060-119
Football – ca. 1973 / Football Action / CMP tray [5],The University of Iowa; The Crowley Company,1973,,Football – ca. 1973 / Football Action / CMP tray [5],Football,Men's,Football,,1970-1980,Color slides,image/tiff,Still image,Photographs,Hawkeyes Athletic Slides,University of Iowa. Libraries. University Archives,Center for Media Production Photographic Service Slide Collection,RG30_0002_009,31858045760307,Copyright © The University of Iowa 2015.  All rights reserved.,Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/,1973 Iowa Hawkeyes Football Season,http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team,1500300002S1973,,University of Iowa,2015-12-09,,,,,,,,,,,,,,31858045760307,1 / 2,120-160
Football – ca. 1973 / Football Action / Laudeber & Staff,The University of Iowa; The Crowley Company,1973,,Football – ca. 1973 / Football Action / Laudeber & Staff,Football,Men's,Football,,1970-1980,Color slides,image/tiff,Still image,Photographs,Hawkeyes Athletic Slides,University of Iowa. Libraries. University Archives,Center for Media Production Photographic Service Slide Collection,RG30_0002_009,31858045760307,Copyright © The University of Iowa 2015.  All rights reserved.,Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/,1973 Iowa Hawkeyes Football Season,http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team,1500300002S1973,,University of Iowa,2015-12-09,,,,,,,,,,,,,,31858045760307,1 / 2,161-180
Football – ca. 1975 / Football Action / CMP tray [1],The University of Iowa; The Crowley Company,1975,,Football – ca. 1975 / Football Action / CMP tray [1],Football,Men's,Football,,1970-1980,Color slides,image/tiff,Still image,Photographs,Hawkeyes Athletic Slides,University of Iowa. Libraries. University Archives,Center for Media Production Photographic Service Slide Collection,RG30_0002_009,31858045760299,Copyright © The University of Iowa 2015.  All rights reserved.,Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/,1975 Iowa Hawkeyes Football Season,http://dbpedia.org/resource/1975_Iowa_Hawkeyes_football_team,1500300002S1975,,University of Iowa,2015-12-09,,,,,,,,,,,,,,31858045760299,1 / 3,001-067
Football – ca. 1975 / Football Action ,The University of Iowa; The Crowley Company,1975,,Football – ca. 1975 / Football Action ,Football,Men's,Football,,1970-1980,Color slides,image/tiff,Still image,Photographs,Hawkeyes Athletic Slides,University of Iowa. Libraries. University Archives,Center for Media Production Photographic Service Slide Collection,RG30_0002_009,31858045760299,Copyright © The University of Iowa 2015.  All rights reserved.,Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/,1975 Iowa Hawkeyes Football Season,http://dbpedia.org/resource/1975_Iowa_Hawkeyes_football_team,1500300002S1975,,University of Iowa,2015-12-09,,,,,,,,,,,,,,31858045760299,1 / 3,068-106
Football – ca. 1976 / Football Action / CMP tray [1],The University of Iowa; The Crowley Company,1976,,Football – ca. 1976 / Football Action / CMP tray [1],Football,Men's,Football,,1970-1980,Color slides,image/tiff,Still image,Photographs,Hawkeyes Athletic Slides,University of Iowa. Libraries. University Archives,Center for Media Production Photographic Service Slide Collection,RG30_0002_009,31858045760299,Copyright © The University of Iowa 2015.  All rights reserved.,Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/,1976 Iowa Hawkeyes Football Season,http://dbpedia.org/resource/1976_Iowa_Hawkeyes_football_team,1500300002S1976,,University of Iowa,2015-12-09,,,,,,,,,,,,,,31858045760299,1 / 3,107-177
Football – ca. 1977 / Football Action / CMP tray [1],The University of Iowa; The Crowley Company,1977,,Football – ca. 1977 / Football Action / CMP tray [1],Football,Men's,Football,,1970-1980,Color slides,image/tiff,Still image,Photographs,Hawkeyes Athletic Slides,University of Iowa. Libraries. University Archives,Center for Media Production Photographic Service Slide Collection,RG30_0002_009,31858045760281,Copyright © The University of Iowa 2015.  All rights reserved.,Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/,1977 Iowa Hawkeyes Football Season,http://dbpedia.org/resource/1977_Iowa_Hawkeyes_football_team,1500300002S1977,,University of Iowa,2015-12-09,,,,,,,,,,,,,,31858045760281,1 / 4,001-124
