"Title"	"Creator"	"Date Original"	"Subset(Note)"	"Header"	"Sport"	"Gender"	"Topical Subject"	"Geographic Subject"	"Chronological Subject"	"Source"	"Type(IMT)"	"Type(DCMITYPE)"	"Type(AAT)"	"Digital Collection"	"Contributing Institution"	"Archival Collection"	"Collection Identifier"	"Barcode"	"Rights Management"	"Contact Information"	"Sublocation"	"SportsSeasonURI"	"SportsEventID"	"Series"	"Corporate Name Subject"	"Date Digital"	"Latitude"	"Longitude"	"Personal name"	"Collection Guide"	"Folder"	"Folder name"	"Category"	"Image Height"	"Image Width"	"Duration"	"Digitization Specifications"	"Image Number"	"Object File Name"
"Football – ca. 1973 / Football Action / CMP tray [1]_001"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_001.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_002"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_002.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_003"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_003.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_004"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_004.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_005"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_005.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_006"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_006.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_007"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_007.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_008"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_008.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_009"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_009.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_010"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_010.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_011"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_011.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_012"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_012.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_013"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_013.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_014"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_014.tif"
"Football – ca. 1973 / Football Action / CMP tray [1]_015"	"The University of Iowa; The Crowley Company"	"1973"	"Case 1-Tray 1-Slide 001-128"	"Football – ca. 1973 / Football Action / CMP tray [1]"	"Football"	"Men's"	"Football"	""	"1970-1980"	"Color slides"	"image/tiff"	"Still image"	"Photographs"	"Hawkeyes Athletic Slides"	"University of Iowa. Libraries. University Archives"	"Center for Media Production Photographic Service Slide Collection"	"RG30_0002_009"	"31858045760315"	"Copyright © The University of Iowa 2015.  All rights reserved."	"Contact the University Archives at the University of Iowa: http://www.lib.uiowa.edu/sc/contact/"	"1973 Iowa Hawkeyes Football Season"	"http://dbpedia.org/resource/1973_Iowa_Hawkeyes_football_team"	"1500300002S1973"	""	"University of Iowa"	"2015-12-09"	""	""	""	""	""	""	""	""	""	""	""	""	"31858045760315_015.tif"
